店舗名,住所
よこづな,神奈川県横浜市青葉区美しが丘1-12-3
ひつじの王様,神奈川県横浜市西区岡野2-1-21-4
カルビの王国センター南店,神奈川県横浜市都筑区茅ヶ崎中央7-13
蔵のカルビ寒川店,神奈川県高座郡寒川町宮山120-5
横濱慶州苑,神奈川県横浜市港北区新横浜2-5-16
食肉卸直営・黒毛牛専門北条焼肉センター 小田原店,神奈川県小田原市栄町1-14-54
炭火・七輪 ホルモン焼 珍満,神奈川県大和市南林間2-10-9
牛角港北ニュータウンセンター南店,神奈川県横浜市都筑区茅ヶ崎南5-1-48
食彩和牛 しげ吉はなれ,神奈川県大和市大和東3-7-11
吉の二 名物塩だれホルモン 溝の口,神奈川県川崎市高津区溝口2-3-6
海老名食堂,神奈川県海老名市中央1-7-1
韓の台所京急川崎店,神奈川県川崎市川崎区駅前本町21-1
BBQ DAYS 新百合ヶ丘エルミロード店,神奈川県川崎市麻生区上麻生1-4-1
食彩和牛 しげ吉横浜元町店,神奈川県横浜市中区石川町1-15
ひょうたん石川町店,神奈川県横浜市中区石川町1-13-8
銘柄豚サムギョプサル韓国料理千ちゃん 川崎,神奈川県川崎市川崎区砂子2-3-12
牛雅,神奈川県横浜市青葉区青葉台1-15-4
溝の口ドカンドカン酒場溝口西口商店街店,神奈川県川崎市高津区溝口2-7-15
ボンちゃん ベトナム料理,神奈川県小田原市栄町2-7-34
隠れ家個室 茶き茶き溝の口,神奈川県川崎市高津区溝口1-12-10
かやらん仲町台店,神奈川県横浜市都筑区仲町台2-1-12
韓国家庭料理・韓国居酒屋 ハンアリ,神奈川県厚木市中町2-1-22
海鮮居酒屋 はなの舞 二俣川南口店,神奈川県横浜市旭区二俣川2-62-7
国産黒毛和牛×韓国料理 濱や本館 関内,神奈川県横浜市中区常盤町6-76
あけぼの食堂,神奈川県横浜市神奈川区鶴屋町2-19
【個室完備】鮮魚と焼鳥ともつ焼きすみび 大和店,神奈川県大和市大和南1-2-12
豚まる,神奈川県藤沢市南藤沢23-10
食彩和牛 しげ吉 本厚木店,神奈川県厚木市泉町4-6
シュラスコ＆ビアレストラン ALEGRIA YOKOHAMA,神奈川県横浜市西区南幸2-13-22
シュラスコ＆ビアレストラン ALEGRIA みなとみらい,神奈川県横浜市中区本町6-50-10
ホルモン商事 寅や,神奈川県平塚市紅谷町14-3
やきにくガッッツ,神奈川県横浜市鶴見区鶴見中央4-18-5
シュラスコ＆ビアレストラン ALEGRIA 溝の口,神奈川県川崎市高津区溝口1-11-8
名物ホルモン 七輪もつ焼き 鉄ノ四 宮前平,神奈川県川崎市宮前区宮前平1-10-13
肉のとみい綱島店,神奈川県横浜市港北区綱島西2-6-20
牛兵衛 草庵京急上大岡店,神奈川県横浜市港南区上大岡西1-6-1
韓の台所新川通り店,神奈川県川崎市川崎区東田町1-2
炭焼きとワイン PEQUE【ペケ】新百合ヶ丘,神奈川県川崎市麻生区上麻生1-6-3
A5 黒毛和牛 別所 京城苑,神奈川県横浜市中区港町2-9-7
YAKINIKU 牛慶 ～ヤキニクウシヨシ～鷺沼店,神奈川県川崎市宮前区小台1-19-5
和牛×ワイン×肴飯－月の牛－二俣川,神奈川県横浜市旭区二俣川1-45-24
ふくひろ亭,神奈川県横浜市都筑区中川1-14-5
肉小僧 匠川崎西口店,神奈川県川崎市幸区中幸町3-28-1
李昇 馬車道店,神奈川県横浜市中区住吉町4-50
やきにくの快下大井店,神奈川県小田原市下大井433-4
かつくら東急たまプラーザ店,神奈川県横浜市青葉区美しが丘1-7
精肉店直営×宮崎牛焼肉シンセン 石川町,神奈川県横浜市中区吉浜町2-36
一入,神奈川県横浜市中区野毛町3-160-4
ホルモン亭大ちゃん本厚木,神奈川県厚木市旭町1-8-8
海老名食堂 ホルモン部,神奈川県伊勢原市石田326-1
ベトナム料理専門店サイゴン キムタン 川崎本店,神奈川県川崎市川崎区東田町4-7
ホルモン 藤つぼ,神奈川県横浜市西区高島2-6-41
食彩和牛 しげ吉湘南台店,神奈川県藤沢市湘南台2-4-4
Blue Dining Chigasaki （ブルーダイニング 茅ヶ崎）,神奈川県茅ヶ崎市常盤町6-54
食彩和牛 しげ吉戸塚,神奈川県横浜市戸塚区下倉田町202
焼売酒場 しげ吉 横浜西口一番街店,神奈川県横浜市西区南幸2-1-15
グリルド エイジング・ビーフ横浜店,神奈川県横浜市神奈川区鶴屋町2-15
韓ノどうらくみなとみらい店,神奈川県横浜市西区みなとみらい4-4-5
味の牛たん 喜助横浜ランドマーク店,神奈川県横浜市西区みなとみらい2-2-1
食彩和牛 しげ吉青葉台店,神奈川県横浜市青葉区若草台17-60
大衆すき焼き とみい,神奈川県横浜市港北区綱島西2-2-9
かやらん三ツ沢本店,神奈川県横浜市神奈川区三ツ沢下町2-14
ロクデナシ酒場,神奈川県横浜市中区野毛町2-78
みやだい倶楽部,神奈川県川崎市川崎区砂子1-8-8
韓国宮廷料理 ヨンドン本店,神奈川県藤沢市西富530-1
とび蔵本厚木駅前店,神奈川県厚木市中町2-1-1
亀戸ホルモン 横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-16-2
たまちゃん,神奈川県大和市大和東2-6-15
牛極,神奈川県厚木市旭町1-1-1
和牛肉刺しと網焼きichijiku（イチジク）日吉,神奈川県横浜市港北区日吉本町1-21-7
炭火ホルモン焼き酒場 恵の家,神奈川県川崎市多摩区登戸2662-2
国産牛食べ放題 牛仙元住吉,神奈川県川崎市中原区木月1-33-20
otoCono‐katte．（オトコノカッテ） 本厚木,神奈川県厚木市幸町4-6
大和 ホルモンセンター,神奈川県大和市大和東3-1-18
デジキューBBQテラスビナウォーク店,神奈川県海老名市中央1-6-1
野毛ゴールデンホルモン,神奈川県横浜市中区花咲町1-41
いが本舗岸根公園店,神奈川県横浜市港北区篠原町1103-36
本厚木ホルモンセンター,神奈川県厚木市泉町2-9
デジキューBBQテラス 本厚木ミロード店,神奈川県厚木市泉町1-1
いが本舗（旧：いがイガ）センター北店,神奈川県横浜市都筑区中川中央1-4-7
デジキューBBQテラス ドン・キホーテ溝ノ口駅前店,神奈川県川崎市高津区溝口1-13-5
ホルモンラボ NAIZOU研究所 横浜関内店,神奈川県横浜市中区相生町3-53
逗子海岸 海の家×BBQ ヴィヴィアナリゾートクラブ,神奈川県逗子市新宿1-2
ホルモン小泉 青葉台,神奈川県横浜市青葉区青葉台1-15-40
ホルモン屋だん 横浜桜木町店,神奈川県横浜市中区野毛町2-66
デジキューBBQテラス アリオ橋本店,神奈川県相模原市緑区大山町1-22
肉刺し酒場 和亭,神奈川県横浜市青葉区藤が丘2-4-5
島豚アグーと沖縄料理居酒屋あかゆら 武蔵小杉,神奈川県川崎市中原区小杉町3-1501-7
ホルモンごえん 野毛店,神奈川県横浜市中区宮川町3-65
牛タン専門店 濱たん（はまたん）新横浜,神奈川県横浜市港北区新横浜2-5-17
食べ放題・飲み放題 大好きや 平塚西口店,神奈川県平塚市紅谷町18-8
牛タン専門店 濱たん（はまたん）関内,神奈川県横浜市中区尾上町3-35
ズシサカバ アリア,神奈川県逗子市逗子2-6-31
アジアンダイニング＆BAR Lutina,神奈川県横浜市戸塚区品濃町550-7
Enfin【アンファン】炎の鉄板料理 × 本厚木リゾート,神奈川県厚木市旭町1-29-14
炭焼ホルモン濱蔵 戸塚店,神奈川県横浜市戸塚区戸塚町3949-1
やきにく 善～zen～ 肉と麦酒と日本酒,神奈川県海老名市中央3-2-15
やきにく 善～zen～ 肉と麦酒と日本酒,神奈川県海老名市中央3-2-15
厳選和牛×全席個室居酒屋 こすぎ畑,神奈川県川崎市中原区小杉町3-430-1
炭火焼 ホルモン・ジンギスカンたたら 横浜,神奈川県横浜市西区南幸1-10-18
THE BBQ BEACH in KAWASAKI LA CITTADELLA,神奈川県川崎市川崎区小川町1-18
大衆うなぎ酒場 B／FISH,神奈川県横浜市中区野毛町1-6
くいもの屋わんビナウォーク海老名店,神奈川県海老名市中央1-18-1
くいもの屋わん横須賀中央店,神奈川県横須賀市若松町2-4
くいもの屋わん金沢文庫店,神奈川県横浜市金沢区釜利谷東2-16-34
くいもの屋わん相模大野店,神奈川県相模原市南区相模大野3-12-15
横浜苑,神奈川県横浜市西区南幸1-2-9
串焼き市場,神奈川県平塚市明石町1-32
かやらんセンター南駅前店,神奈川県横浜市都筑区茅ヶ崎中央42-24
鉄板焼 にし田,神奈川県横浜市中区桜木町3-13-3
シュラスコ＆ビアレストラン ALEGRIA 海老名,神奈川県海老名市めぐみ町2-1
海の家 AOSHIRO RESORT,神奈川県藤沢市片瀬海岸2
BQーMARINA,神奈川県平塚市馬入2053
西洋軒,神奈川県横須賀市若松町1-10
Beach BBQ uminosugu,神奈川県鎌倉市由比ガ浜4
凪のラム屋,神奈川県川崎市川崎区東田町7-3
韓国料理 ソウル亭,神奈川県横浜市鶴見区鶴見中央4-12-8
シュラスコレストランビア＆バイキングALEGRIA 新横浜,神奈川県横浜市港北区新横浜3-17-15
弥栄 IYASAKA BRIGHT ZUSHI,神奈川県逗子市新宿1-3
大黒ふ頭海釣り公園 デイキャンプ＆BBQ GARDEN,神奈川県横浜市鶴見区大黒ふ頭20
LOCOHALOI,神奈川県藤沢市鵠沼海岸1-5218
はやとん家,神奈川県鎌倉市由比ガ浜4-12-30
GRUGRU 鶴ヶ峰BBQ GARDEN,神奈川県横浜市旭区鶴ケ峰1-12-29
THE WHARF HOUSE YAMASHITA KOEN,神奈川県横浜市中区山下町279
韓国家庭料理 さらん房,神奈川県横浜市青葉区美しが丘1-4-6
大衆酒場 藤沢ホルモン,神奈川県藤沢市南藤沢4-1
ホルモン酒場 丸笑（まるしょう）平塚,神奈川県平塚市明石町14-13
食べ放題・飲み放題 大好きや 新松田店,神奈川県足柄上郡松田町松田惣領1191
横濱ゴールデンホルモン,神奈川県横浜市西区南幸2-14-7
お好み焼 道とん堀 愛甲石田店,神奈川県伊勢原市石田326-1
もんじゃ横丁小田原店,神奈川県小田原市栄町2-9-19
あるぐるHOUSE,神奈川県鎌倉市由比ガ浜4
肉の佐藤 本厚木店,神奈川県厚木市中町2-4-14
ジンギスカン羊堂,神奈川県藤沢市辻堂元町1-1-31
BBQテラス サニーテーブル 茅ヶ崎,神奈川県茅ヶ崎市元町1-1
肉の佐藤 小田急相模原店,神奈川県相模原市南区松が枝町23-7
【飲み放題600円】和牛×牛タン 肉居酒屋 やまと 大和店,神奈川県大和市大和南1-2-13
名物ホルモン 七輪もつ焼き 二の鉄 溝の口,神奈川県川崎市高津区溝口2-7-10
牛たん炭焼 利久ルミネ横浜店,神奈川県横浜市西区高島2-16-1
味の牛たん喜助 横浜モアーズ店,神奈川県横浜市西区南幸1-3-1
THE BBQ GARDEN in 横浜ジョイナス,神奈川県横浜市西区南幸1-5-1
塩ホルモン・もつ鍋 平塚 伊ざわ,神奈川県平塚市紅谷町15-4
北とうがらし溝ノ口店,神奈川県川崎市高津区二子5-5-24
ＢＢＱ太郎 横浜店,神奈川県鎌倉市関谷770
横浜 鉄板焼＆ステーキ 祥鳳,神奈川県横浜市西区南幸2-17-8
ジンギスカン羊DEL,神奈川県川崎市川崎区砂子2-8-1
もつ家大西 鹿島田店,神奈川県川崎市幸区下平間115-10
味の牛たん 喜助 グランツリー武蔵小杉,神奈川県川崎市中原区新丸子東3-1135
新横浜鉄板焼き 牛鳴,神奈川県横浜市港北区新横浜2-5-13
大黒や ジョイナステラス二俣川店,神奈川県横浜市旭区二俣川2-91-7
鉄板焼 勝治,神奈川県横浜市戸塚区川上町193-2
もつ焼き19番,神奈川県相模原市南区相模大野6-14-7
NANBU BBQ PARK ～南部肉場店～,神奈川県横浜市金沢区鳥浜町1-1
Roins beach house,神奈川県藤沢市片瀬海岸3-2932
生簀と七輪 酒房 丸順,神奈川県海老名市中央1-14-26
マッコリ10種飲み放題 韓国風居酒屋 オソオセヨ たまプラーザ,神奈川県横浜市青葉区美しが丘1-10-8
すすきのジンギスカン 関内店,神奈川県横浜市中区太田町1-18
名物ホルモン 七輪もつ焼き 鉄 溝の口,神奈川県川崎市高津区溝口1-12-2
横浜 鉄板焼き 牛鳴,神奈川県横浜市神奈川区鶴屋町2-9-10
韓無量小田原店,神奈川県小田原市栄町2-8-8
全席個室焼肉・ホルモン座 ちからや 総本店,神奈川県横浜市西区南幸2-5-4
哲 鉄板ダイニングTETSU,神奈川県横浜市中区太田町2-21-2
Captain’s Grill and Bar,神奈川県川崎市川崎区殿町3-25-11
コリアンダイニングＳＥＯＵＬ ＧＡＴＥ藤沢,神奈川県藤沢市鵠沼橘1-3-16
溶岩焼きグリルと世界のワイン 肉助 上大岡店,神奈川県横浜市港南区上大岡東2-2-1
酒楽酒酒酒 蔵,神奈川県川崎市中原区小杉町3-258
鉄板焼お好み焼 けんけんぱ和田町本店,神奈川県横浜市保土ケ谷区仏向町20
居酒屋 一休,神奈川県川崎市幸区下平間111
個室ダイニング 韓国料理KOUYA‐倖屋‐,神奈川県川崎市高津区下作延2-7-24
季節の野菜と厳選名酒bar cinta 二俣川,神奈川県横浜市旭区二俣川1-45-65
BBQ太郎 神奈川湘南店,神奈川県茅ヶ崎市今宿263-5
津久井,神奈川県鎌倉市御成町11-7
八郎酒場 新百合ヶ丘店,神奈川県川崎市麻生区万福寺1-1-2
八郎酒場 野毛宮川町店,神奈川県横浜市中区宮川町2-15
関内もつ肉店,神奈川県横浜市中区真砂町4-45
牛タン焼専門店 司 分店鷹 川崎店,神奈川県川崎市川崎区砂子2-10-1
綱島 牛タンいろ葉,神奈川県横浜市港北区綱島西1-6-17
大和町もつ肉店,神奈川県横浜市中区大和町1-2-5
ステーキハウス 優味,神奈川県小田原市栄町1-5-18
動物園通り もつ肉店,神奈川県横浜市中区花咲町2-62-10
ラグナスイート新横浜,神奈川県横浜市港北区新横浜2-6-6
にく野郎 中央林間,神奈川県大和市中央林間3-3-6
肉問屋直営黒毛和牛全品食べ飲み放題 牛若丸 武蔵小杉店,神奈川県川崎市中原区小杉町3-442-15
韓国ダイニング ヤンニョム,神奈川県横浜市保土ケ谷区天王町1-7-6
ベトナムの食卓 HOAHOA 日吉本店,神奈川県横浜市港北区日吉本町1-4-25
荒井屋 そごう横浜店,神奈川県横浜市西区高島2-18-1
千房そごう横浜店,神奈川県横浜市西区高島2-18-1
完全個室完備 新鮮手打ちもつ焼きじんべえ 新横浜店,神奈川県横浜市港北区新横浜2-4-4
北海道シントク町 塚田農場エキニア横浜店,神奈川県横浜市西区北幸1-1-8
立ち食いしゃぶしゃぶ＆ホルモン焼き 赤星 上大岡,神奈川県横浜市港南区上大岡西1-13-19
CHARCOAL STAND NOGE（チャコールスタンド ノゲ）,神奈川県横浜市中区野毛町2-79
日本料理 中津川,神奈川県厚木市中町2-13-1
叶屋 ～肉と燻製～,神奈川県横浜市磯子区杉田2-2-14
鉄板焼 katakago,神奈川県川崎市川崎区小川町13-20
鉄板居酒屋 たいよう,神奈川県川崎市中原区木月2-5-14
ラム新横浜,神奈川県横浜市港北区新横浜2-6-18
八郎スター酒場 関内,神奈川県横浜市中区羽衣町2-6-1
御曹司 きよやす邸鎌倉プリンスホテル店,神奈川県鎌倉市七里ガ浜東1-2-18
霧島豚レタしゃぶの店 酒房 いせき,神奈川県相模原市中央区相模原2-3-5
青の隠れ家個室イタリアンアモーレ 川崎店,神奈川県川崎市川崎区駅前本町2-1
江の島海の家ちょっとヨットビーチハウス,神奈川県藤沢市片瀬海岸1-15
牛たん炭焼 利久ラゾーナ川崎店,神奈川県川崎市幸区堀川町72-1
大衆食堂2．0とぽす エキュート横浜,神奈川県横浜市西区高島2-16-1
DREAM DOORYOKOHAMA HAMMERHEAD,神奈川県横浜市中区新港1-3
鉄板焼 一如（いちにょ）横浜,神奈川県横浜市西区北幸2-12-26
ＭＡＮＧＩＡ ＭＡＮＧＩＡ横浜ランドマークタワー店,神奈川県横浜市西区みなとみらい2-2-1
肉ビストロ居酒屋 BISON 本厚木店,神奈川県厚木市泉町2-1
銀だこハイボール酒場 アトレ大船店,神奈川県鎌倉市大船1-1-1
横浜ワインバル 青木酒店 鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-16-2
ワインと炭火焼 harao,神奈川県川崎市中原区木月2-9-7
肉割烹 丹屋～たんや～横浜関内馬車道,神奈川県横浜市中区相生町4-69-1
鉄板焼料理 美安 横浜,神奈川県横浜市中区太田町2-31-2
HEMINGWAY江ノ島 HANARE,神奈川県藤沢市片瀬海岸2-16-20
LuxuryTerrace＆BBQ YOSHIKO,神奈川県横浜市西区岡野1-9-7
ヒジテツ 伊勢佐木町店,神奈川県横浜市南区永楽町2-26
横浜ベイクォーター BBQビアガーデン,神奈川県横浜市神奈川区金港町1-10
アニバーサリークルーズみなとみらい,神奈川県横浜市西区みなとみらい1-3
横浜 鉄板焼き WAGYU LIVERARY,神奈川県横浜市神奈川区鶴屋町2-16-2
逗子海岸海の家 SeasideLiving,神奈川県逗子市新宿2-10-18
アニバーサリークルーズみなとみらい,神奈川県横浜市西区みなとみらい1-3
韓国本場自家製キムチ＆海苔巻き専門店 キムキム,神奈川県大和市下和田605
ザッツ,神奈川県横浜市中区元町2-80
HEMINGWAY 江ノ島,神奈川県藤沢市片瀬海岸1-12-4
芝浦食肉 戸塚西口店,神奈川県横浜市戸塚区戸塚町104
お好み焼きBAR 中村酒店,神奈川県横須賀市汐入町2-35
『PREMIERE YOKOHAMAの庭～空と大地の恵みとBBQ～』,神奈川県横浜市都筑区中川中央1-30-1
月島もんじゃ くう川和町駅前店,神奈川県横浜市都筑区川和町1236-1
焼き鳥×焼きとん×煮込み はじめ商店,神奈川県大和市大和東2-2-15
平塚居酒屋 にかいのおく,神奈川県平塚市紅谷町18-6
ステーキ＆チーズ酒場 レッドコング,神奈川県横浜市中区野毛町2-78
お好み焼き・もんじゃ焼き くるり,神奈川県平塚市八重咲町22-22
居酒屋もつ昇 横須賀中央店,神奈川県横須賀市若松町1-11-5
生牡蠣と極み牛タン RAKUGAKI 横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-16-4
鉄板焼 Ｓ,神奈川県川崎市幸区堀川町72-1
IZAKAYA EGACHO（居酒屋えがちょ） 日吉店,神奈川県横浜市港北区日吉2-6-27
鉄板焼お好み焼けんけんぱ鶴ヶ峰店,神奈川県横浜市旭区鶴ケ峰2-3-3
銀だこ酒場 元住吉店,神奈川県川崎市中原区木月1-31-1
鉄板焼き ななつぼ井土ヶ谷店,神奈川県横浜市南区南太田4-2-1
横浜瀬里奈 ステーキドーム,神奈川県横浜市中区弁天通5-70
弘明寺ホルモン yawd,神奈川県横浜市南区弘明寺267
鶏刺身、九州料理、炭火焼 うえちゃん,神奈川県川崎市高津区下作延1-3-1
炭火焼 にはちや 元住吉店,神奈川県川崎市中原区木月1-32-5
炭火焼ハンバーグレストラン ぶる中山店,神奈川県横浜市緑区台村町352-1
貸切ビアガーデンテラスと本格ステーキバルクビーフ横浜本店,神奈川県横浜市西区岡野1-17-12
銀だこハイボール酒場 桜木町クロスゲート店,神奈川県横浜市中区桜木町1-101-1
鉄板焼き Italian Dining Bar 焔 HOMURA,神奈川県横須賀市米が浜通1-17
時間無制限 食べ飲み放題 165種 個室居酒屋匠 溝の口店,神奈川県川崎市高津区溝口1-12-5
炭火とおばんざい きむら屋,神奈川県川崎市中原区小杉町3-430-4
時間無制限 食べ飲み放題 165種 個室居酒屋匠 溝の口店,神奈川県川崎市高津区溝口1-12-5
【全席個室】牛タン×個室居酒屋くろさわ 横浜西口店,神奈川県横浜市神奈川区鶴屋町2-23-8
野菜巻き串と煮込み ヨイトヤ 相模大野,神奈川県相模原市南区相模大野6-14-8
炊き餃子とプレス焼き満月Do～マンゲツドゥー～,神奈川県川崎市中原区新丸子東1-983-5
ZAIMOKUZA BEACH HOUSE〜La Tika〜,神奈川県鎌倉市材木座5
マリブキッチン 由比ヶ浜,神奈川県鎌倉市由比ガ浜4
お好み焼き鉄板焼き よし田,神奈川県横浜市港南区上大岡西1-14-8
炭火焼 との山,神奈川県鎌倉市大船1-20-14
銀だこハイボール酒場 関内店,神奈川県横浜市中区常盤町3-24
隠れダイニング伝‐DEN‐,神奈川県川崎市高津区溝口1-11-22
ラクレットチーズ×肉バル大和ロッジ,神奈川県大和市中央4-1-23
和房鉄板 榛,神奈川県小田原市栄町2-1-20
フォルクス大和店,神奈川県大和市深見台1-1-3
蒸気屋 角打ち,神奈川県横浜市中区野毛町2-78
薩摩焼酎と鹿児島郷土料理ぶぅ屋（ぶぅや）上大岡駅前店,神奈川県横浜市港南区上大岡西1-4-16
【全席喫煙可】カラアゲサカバスミチャン 大和×居酒屋,神奈川県大和市中央2-4-18
そば 酒肴 鵠庵,神奈川県藤沢市南藤沢3-6
手包み餃子×ネオ台湾酒場ジャッキー餃子楼 川崎駅前店,神奈川県川崎市川崎区砂子1-1-3
焼き鳥居酒屋 鳥清中央林間店,神奈川県大和市中央林間5-1-6
1983 ～燻製とクラフトビールのお店～ 茅ヶ崎,神奈川県茅ヶ崎市新栄町9-7
釜焼きピザ×肉バル DON NAPOLI（ドンナポリ）茅ヶ崎,神奈川県茅ヶ崎市新栄町5-3
木村屋本店 二俣川,神奈川県横浜市旭区二俣川1-45
ネオ個室居酒屋 クルミ堂 横浜店,神奈川県横浜市神奈川区鶴屋町2-23-8
藩次郎,神奈川県川崎市中原区新城3-7-4
バルスタイル Pakino 裏戸塚,神奈川県横浜市戸塚区戸塚町4897
鉄板焼・しゃぶしゃぶ迎賓館,神奈川県足柄下郡箱根町二ノ平1297
博多酒場・もつ鍋・水炊き  極 桜木町店,神奈川県横浜市中区花咲町2-68
貸切宴会×完全個室×138種食べ放題慶華楼横浜中華街,神奈川県横浜市中区山下町143
鉄板ビストロ comichi,神奈川県逗子市逗子7-1-60
フォルクス座間店,神奈川県座間市相模が丘1-31-17
鉄板ビストロ comichi,神奈川県逗子市逗子7-1-60
鉄板ダイニング 籠‐komori‐裏戸塚,神奈川県横浜市戸塚区戸塚町4789-6
個室中華 杏花楼百合丘店,神奈川県川崎市麻生区百合丘1-23-4
団欒 炎二俣川北口店,神奈川県横浜市旭区二俣川1-45-18
牛タン 木村屋溝の口すずらん通り,神奈川県川崎市高津区溝口1-11-20
牛タン専門×全席個室居酒屋うま囲 藤沢駅南口店,神奈川県藤沢市南藤沢3-4
肉バルD．U．M．B．O（ダンボ）横浜みなとみらい東急スクエア店,神奈川県横浜市西区みなとみらい2-3-8
ワインバル 青木酒店横浜西口店,神奈川県横浜市西区南幸2-6-1
横浜 BBQ スリーモンキーズテラス横浜関内店,神奈川県横浜市中区末広町3-95
フォルクス相模原店,神奈川県相模原市中央区中央2-1-1
おふくろの味 浜や鴨居,神奈川県横浜市緑区鴨居1-15-2
やきとり道場 さくら長津田南口店,神奈川県横浜市緑区長津田5-3-7
全席個室 特選日本酒×焼き鳥居酒屋鶏のまるよし 川崎駅前店,神奈川県川崎市川崎区砂子1-1-8
炭火 はじめ,神奈川県相模原市緑区橋本3-13
もつ関ちゃん登戸駅前,神奈川県川崎市多摩区登戸3416-1
火鍋サワーと五色小籠包福包酒場 茅ヶ崎店,神奈川県茅ヶ崎市新栄町5-3
食べ飲み放題 全130種 居酒屋 すみび大和店,神奈川県大和市大和南1-2-12
中華居酒屋 彩関内,神奈川県横浜市中区真砂町3-32
炭火焼鳥 やまむら,神奈川県大和市大和東1-7-24
デジキューBBQテラス横須賀モアーズシティ店,神奈川県横須賀市若松町2-30
フォルクス鶴見寺尾店,神奈川県横浜市鶴見区諏訪坂5-37
