店舗名,住所
黒毛和牛と牛タン専門 個室居酒屋Kurosawa 横浜駅店,神奈川県横浜市神奈川区鶴屋町2-23-8
銀だこ酒場 綱島店,神奈川県横浜市港北区綱島西1-9-9
もんじゃ・お好み焼 もじや本店,神奈川県横浜市都筑区仲町台1-7-11
お好み焼 城山,神奈川県横浜市都筑区東山田3-17-7
炭火酒場 B102号室,神奈川県川崎市高津区溝口1-12-14
フォルクス港南台店,神奈川県横浜市港南区日野南1-1-31
もんじゃ・お好み焼 もじや センター南TB店,神奈川県横浜市都筑区茅ヶ崎中央11-5
EAST WOOD,神奈川県川崎市川崎区小川町3-3
お好み焼 城山,神奈川県横浜市都筑区東山田3-17-7
炭火酒場 B102号室,神奈川県川崎市高津区溝口1-12-14
Plancha L THE YOKOHAMA FRONT,神奈川県横浜市神奈川区鶴屋町1
フォルクス戸塚西店,神奈川県横浜市戸塚区汲沢町1170
横浜ビアホール×BBQ KIMURAYA,神奈川県横浜市神奈川区鶴屋町2-15
半個室×ステーキ＆ハンバーグSTEAK HOUSE sandbar 辻堂海岸,神奈川県藤沢市辻堂東海岸1-12-27
チーズの海に溺れたい 大和店,神奈川県大和市中央4-1-23
やきとり工房武蔵小杉店,神奈川県川崎市中原区小杉町1-403
超居酒屋 生キン,神奈川県横浜市戸塚区品濃町543-6
2000円食べ放題飲み放題 居酒屋おすすめ屋 横浜店,神奈川県横浜市神奈川区鶴屋町2-23-8
地鶏家 萬丸関内店,神奈川県横浜市中区相生町2-50
お好み焼き 杏子,神奈川県横浜市都筑区中川中央1-37-6
フォルクス港北ニュータウン店,神奈川県横浜市都筑区茅ヶ崎南5-26-36
鮨 炉端焼 日本酒 六方ほんてん,神奈川県海老名市中央1-8-1
和牛肉バル Cabrio（カブリオ）藤沢,神奈川県藤沢市南藤沢4-2
鉄板焼レストラン八景,神奈川県横浜市金沢区福浦1-1-1
串焼 ちゃぼ蔵,神奈川県横浜市神奈川区西神奈川1-6-1
肉の溶岩グリル＆横浜地野菜 H．B’s nest 貸切,神奈川県横浜市中区山下町2
野毛焼きそばセンター まるき野毛本店,神奈川県横浜市中区宮川町2-29-1
旨いさかなと純米酒 わいち,神奈川県横浜市港北区綱島西1-2-12
御喜元お台所 鶴見 がちゃぴん,神奈川県横浜市鶴見区鶴見中央1-3-3
炉ばた 藤十郎,神奈川県茅ヶ崎市共恵1-1-15
まぐろ居酒屋 さかなや道場京急久里浜店,神奈川県横須賀市久里浜1-5-4
BACK YARD ‐Brooklyn Park Yokohama‐,神奈川県横浜市西区南幸2-15-13
横濱うし処  牛味蔵 横浜スカイビル店,神奈川県横浜市西区高島2-19-12
クラフトビアホール モスプレミアム桜木町クロスゲート店,神奈川県横浜市中区桜木町1-101-1
ひじてつ 元町店,神奈川県横浜市中区山下町161-10-16
御気楽お台所 たまぷら はらペコッ,神奈川県横浜市青葉区美しが丘2-15-4
たこ焼き・お好み焼き食べ放題×半個室たこやき番長 関内店,神奈川県横浜市中区常盤町1-4-2
CHUTNEY Asian Ethnic Kitchen,神奈川県横浜市神奈川区金港町1-10
BACK YARD Roof Garden Minatomirai,神奈川県横浜市中区新港2-2-1
釜めしと鉄板酒家 三好屋,神奈川県南足柄市飯沢4-1
もつ専門店 彩川崎駅東口店,神奈川県川崎市川崎区東田町4-10
ステーキハウス金井 小田原駅前店,神奈川県小田原市栄町2-1-29
お好み焼き・食べ放題若竹川崎モアーズ店,神奈川県川崎市川崎区駅前本町7-7
野毛焼きそばセンターまるき野毛一番街店 はなれ,神奈川県横浜市中区野毛町1-52
食べ飲み放題 鉄板焼き酒場 だしや大船店,神奈川県鎌倉市大船1-5-6
黒毛和牛もつ鍋と新鮮手打ちもつ焼きじんべえ 川崎,神奈川県川崎市川崎区砂子2-9-11
【個室完備】炭火焼き鳥と京出汁おでん三蔵 川崎本店,神奈川県川崎市川崎区砂子2-4-18
Steak＆Hamburg Amagi ～あまぎ～,神奈川県横浜市鶴見区鶴見中央4-29-10
もつ焼きごえん,神奈川県横浜市戸塚区品濃町515-1
横濱モダン焼 重,神奈川県横浜市神奈川区鶴屋町2-11-4
大和倶楽部,神奈川県大和市大和東1-3-6
エビス 市が尾総本店,神奈川県横浜市青葉区市ヶ尾町1054-8
プーケットオリエンタル 横浜駅店,神奈川県横浜市西区北幸2-6-5
横浜高島屋ビアガーデン 星空GRILL,神奈川県横浜市西区南幸1-6-31
American Bar＆Grill Wood Stock 川崎,神奈川県川崎市川崎区東田町2-7
屋根裏お台所 隠れ家 とと炉溝の口店,神奈川県川崎市高津区溝口1-15-8
釜炊きごはんと熟成ステーキ フジタ二子新地店,神奈川県川崎市高津区諏訪1-4-1
個室で味わう肉寿司と朝どれ鮮魚にくと魚 川崎駅前店,神奈川県川崎市川崎区砂子1-1-8
日吉 日本酒 いろり屋金魚,神奈川県横浜市港北区日吉本町1-4-25
横浜焼きそばセンター まるき,神奈川県横浜市西区高島2-14-9
宮崎県日南市 塚田農場上大岡店,神奈川県横浜市港南区上大岡西1-16-25
日本料理いちふじ,神奈川県平塚市明石町10-2
宮崎県日南市 塚田農場横浜西口店,神奈川県横浜市西区北幸1-1-5
藤沢南口やきとん,神奈川県藤沢市南藤沢23-1
肉×海鮮 鉄板焼まんまる亭,神奈川県横浜市港南区上大岡西1-11-2
酒処 酔為,神奈川県平塚市紅谷町17-17
宮崎県日南市 塚田農場川崎たちばな通り店,神奈川県川崎市川崎区砂子2-4-18
割烹 乃月（旧：割烹 山田屋）横浜・関内弁天通【ふぐ・うなぎ】,神奈川県横浜市中区弁天通2-34-2
宮崎県日南市 塚田農場川崎たちばな通り店,神奈川県川崎市川崎区砂子2-4-18
炭火焼居酒屋 焼天狗（やきてんぐ）藤沢南口,神奈川県藤沢市鵠沼石上1-4-2
火鍋×担々麺専門店 天府野毛店,神奈川県横浜市中区野毛町1-51
大衆食堂2．0 とぽす,神奈川県横浜市中区桜木町1-1
囲炉裏と個室 火囲炉‐HERO‐ 橋本店,神奈川県相模原市緑区橋本3-29-2
Dining Bar Resort Sky 本厚木BBQ×ビアガーデン,神奈川県厚木市中町2-10-4
黒ぶたやルミネ横浜店,神奈川県横浜市西区高島2-16-1
ごう川崎本店,神奈川県川崎市川崎区砂子2-6-4
2000円食べ飲み放題生つくねと焼鳥個室居酒屋はなこま川崎店,神奈川県川崎市川崎区砂子2-6-7
焼鳥と鮮魚が旨い大衆酒場福田 新横浜店,神奈川県横浜市港北区新横浜3-17-15
肉食べ放題BBQビアガーデンアトレ川崎店,神奈川県川崎市川崎区駅前本町26-1
情熱生産者＆上大岡民 ＆家,神奈川県横浜市港南区上大岡西1-19-1
肉料理 しゃぶしゃぶダイニング なか仲 相模原店,神奈川県相模原市中央区相模原4-5-3
炭火串焼と旬野菜 きわみ,神奈川県川崎市中原区小杉町3-430
OCTAGON横浜,神奈川県横浜市中区野毛町1-4
食べ飲み放題2500円165種MEAT酒場マルシェ 溝の口,神奈川県川崎市高津区溝口1-12-5
鹿児島県霧島市 塚田農場橋本店,神奈川県相模原市緑区橋本3-14-13
スミビトケムリ 関内店,神奈川県横浜市中区真砂町3-32
肉割烹 ささえ,神奈川県川崎市高津区久本2-1-1
メシとテッパンATOCHI （旧：GREEN BOWL）,神奈川県横浜市中区太田町1-20
横浜 なだ万,神奈川県横浜市西区みなとみらい1-1-1
もつ焼き しげ吉,神奈川県大和市大和南1-2-9
武蔵小杉のもつ屋 じゅうに12,神奈川県川崎市中原区新丸子東2
全品300円 中華酒場 三百楽藤沢店,神奈川県藤沢市鵠沼石上1-4-6
馬車道 タップルーム,神奈川県横浜市中区住吉町5-63-1
横浜完全個室 満月はなれ,神奈川県横浜市西区南幸2-10-17
全席個室 野菜巻き串牛タン割烹 やまと 武蔵小杉店,神奈川県川崎市中原区小杉町3-442-15
牛たん ひらつか本店,神奈川県平塚市宝町5-28
虎幻庭 KOGENTEY横浜,神奈川県横浜市神奈川区鶴屋町1-7-1
宮崎県日南市 塚田農場武蔵小杉北口店,神奈川県川崎市中原区小杉町1-403
鉄板焼き  INAGAKI亭,神奈川県茅ヶ崎市浜竹4-1-73
ダーツカフェレストラン カシュ‐カシュ,神奈川県川崎市川崎区大師本町1-17
鉄板焼 美安 川崎,神奈川県川崎市川崎区砂子2-9-1
牛たん居酒屋 永助戸塚店,神奈川県横浜市戸塚区戸塚町8
川崎日航ホテルカフェレストラン ナトゥーラ,神奈川県川崎市川崎区日進町1
かにと海鮮 北海道藤沢駅前店,神奈川県藤沢市南藤沢2-1-2
萬丸 上ノ間,神奈川県横浜市中区住吉町2-26
三代目文治 コースカベイサイドストアーズ店,神奈川県横須賀市本町2-1-12
生牡蠣と極み牛タン RAKUGAKI 関内店,神奈川県横浜市中区真砂町2-12
村木屋 本店,神奈川県横浜市西区南幸1-2-1
ホルモン専門店 幸喜屋関内馬車道店,神奈川県横浜市中区相生町2-50
炭火焼鳥 塚田農場 横浜南幸店,神奈川県横浜市西区南幸2-9-17
炭火Roast ‐RED GRAFFITI‐,神奈川県横浜市西区高島2-14-9
鉄板焼 ぼんの桜木町店 ≪徳島県産食材使用≫,神奈川県横浜市中区花咲町3-87
横浜割烹 至誠関内 馬車道,神奈川県横浜市中区真砂町4-43
海上ビアガーデンBBQ ヘミングウェイ 横浜,神奈川県横浜市西区みなとみらい2-1-1
八剣伝 辻堂駅前店,神奈川県藤沢市辻堂2-1-7
肉ビストロ＆ダイニングひなた 関内店,神奈川県横浜市中区常盤町2-14
出世居酒屋 いっすんぼうし 天王町本店,神奈川県横浜市保土ケ谷区神戸町4-3
2000円食べ飲み放題 焼鳥 焼きとん 餃子 大将 横浜店,神奈川県横浜市西区南幸1-5-30
仙台牛タンと焼き鳥食べ放題完全個室居酒屋 タン治郎 川崎店,神奈川県川崎市川崎区砂子2-6-7
北の味紀行と地酒北海道横浜天理ビル店,神奈川県横浜市西区北幸1-4-1
べったこ亭仲町台店,神奈川県横浜市都筑区仲町台1-2-26
北の味紀行と地酒 北海道溝の口駅前店,神奈川県川崎市高津区溝口1-1-3
炭火居酒屋 焼天狗湘南台店,神奈川県藤沢市湘南台1-15-22
バーベキュー スカイテラス横浜関内セルテ店,神奈川県横浜市中区真砂町3-33
九州うまいもんと焼酎芋蔵桜木町クロスゲート 店,神奈川県横浜市中区桜木町1-101-1
九州料理 野菜串ともつ鍋 ゑびす屋個室居酒屋 藤沢駅前店,神奈川県藤沢市南藤沢2-1-1
アカマル屋川崎東口店,神奈川県川崎市川崎区砂子2-3-10
潤,神奈川県横浜市港北区新横浜1-11-4
和食居酒屋 燿（かがやき）全席個室×海鮮×飲み放題,神奈川県厚木市中町2-4-14
Hokkaido Gourmet Dining北海道 横浜スカイビル店,神奈川県横浜市西区高島2-19-12
炭焼漁師小屋料理川崎銀柳街入口のひもの屋,神奈川県川崎市川崎区砂子2-4-8
八剣伝 吉野町店,神奈川県横浜市南区吉野町2-6-5
鳥波 TORINAMI,神奈川県藤沢市鵠沼石上1-4-3
炭火焼 火乃酉～ひのとり～ 新杉田店,神奈川県横浜市磯子区新杉田町7-14
虎幻庭関内店,神奈川県横浜市中区住吉町2-27
餃子酒場 肉汁とっつぁん 川崎店,神奈川県川崎市川崎区砂子2-5-23
CHARCOAL STAND BENTEN（ベンテン）,神奈川県横浜市中区弁天通2-30
北の味紀行と地酒 北海道武蔵小杉タワープレイス店,神奈川県川崎市中原区小杉町1-403
新生 元海登戸本店,神奈川県川崎市多摩区登戸3288
ホルモン・もつ鍋専門店源丸 小田原栢山店,神奈川県小田原市栢山375-2
八剣伝 川崎尻手駅前店,神奈川県川崎市幸区南幸町3-105-10
鉄板焼 Dining 築～TSUKI～,神奈川県横須賀市汐入町2-44-1
四川 福建料理 福盛楼,神奈川県横浜市中区山下町191-4
【個室完備】沖縄料理 きちんと 橋本店,神奈川県相模原市緑区橋本6-2-3
三代目網元 さかなや道場新松田駅前店,神奈川県足柄上郡松田町松田惣領字張間田下1347-4
ステーキハウス 響 小田原,神奈川県小田原市栄町2-7-7
楽しい酒場 八鮮食堂,神奈川県大和市大和東1-2-7
北の味紀行と地酒 北海道川崎駅前店,神奈川県川崎市川崎区駅前本町12-1
食べ飲み放題 もんじゃ酒場 だしや本厚木店,神奈川県厚木市中町2-1-18
肉と焚火イタリアンBambu due［バンブゥドゥーエ］ 溝の口,神奈川県川崎市高津区溝口1-18-7
たん家 湘太 茅ヶ崎店,神奈川県茅ヶ崎市幸町2-10
炭焼四季 鳥しるべ,神奈川県横浜市中区弁天通2-30
食べ飲み放題 もんじゃ酒場だしや横浜西口南幸店,神奈川県横浜市西区南幸2-9-17
個室居酒屋 産直素材 粋 ‐iki‐相模原駅前店,神奈川県相模原市中央区相模原3-8-25
カジュアル中華バル×手作り餃子猪八戒の台所 川崎西口,神奈川県川崎市幸区中幸町3-28
お好み焼き ポン吉本店,神奈川県横浜市中区若葉町2-21
湘南藤沢×天空のカフェ 3＋3CAFE,神奈川県藤沢市本町1-12-17
食べ飲み放題 もんじゃ酒場 だしや川崎店,神奈川県川崎市川崎区砂子1-2-21
彩の紀,神奈川県川崎市高津区溝口2-12-10
全席個室 博多焼き鳥灯 －AKARI － 武蔵小杉店,神奈川県川崎市中原区新丸子町760
お好み焼き・食べ放題 若竹鶴見東口店,神奈川県横浜市鶴見区鶴見中央1-5-5
海底撈火鍋 川崎店,神奈川県川崎市川崎区駅前本町7-4
串車力武蔵小杉店,神奈川県川崎市中原区新丸子町915-42
もんじゃ横丁戸塚店,神奈川県横浜市戸塚区戸塚町3956
宴会個室×炭火焼鳥炭火工房 あさば 川崎西口店,神奈川県川崎市幸区南幸町2-18-10
鉄板処TETSU （徹）,神奈川県横浜市戸塚区品濃町541-3
FLOWS GRILL ｜ BAR ジ アウトレット湘南平塚,神奈川県平塚市大神8-1-1
improve（インプルーブ）湘南台湘南野菜イタリアン,神奈川県藤沢市湘南台2-5-10
しり鳥商店 藤沢南口店,神奈川県藤沢市南藤沢2-10
京の台所 蒼い月,神奈川県厚木市旭町1-33-8
海鮮居酒屋 涛司（とうじ）大船店,神奈川県鎌倉市大船1-22-2
いちおみ,神奈川県横浜市港南区日野1-8-22
横浜アカマル屋 西口本店,神奈川県横浜市西区南幸2-6-7
元祖ニュータンタンメン本舗京町店,神奈川県川崎市川崎区京町1-18-7
沖縄酒場じゅにまーる×八郎酒場×三崎まぐろtunaがる,神奈川県横浜市中区花咲町1-39-7
肉問屋直送精肉屋 横須賀中央駅前店,神奈川県横須賀市若松町2-7-7
創作鉄板串焼 ポン吉関内店,神奈川県横浜市中区常盤町3-21
オールデイダイニング Terrace and Table,神奈川県川崎市幸区大宮町1-5
The3rd．Kamakura,神奈川県鎌倉市小町2-7-32
夜ノ森川崎,神奈川県川崎市川崎区砂子2-11-20
ビストロ Kurosawa,神奈川県川崎市中原区小杉町1-403
ベトナム居酒屋さるちゃん,神奈川県横浜市旭区中尾2-2-18
まぐろ食堂 七兵衛丸,神奈川県三浦市三崎5-5-4
元祖ニュータンタンメン本舗横浜店,神奈川県横浜市西区南幸2-11-7
元祖ニュータンタンメン本舗鶴見店,神奈川県横浜市鶴見区豊岡町18-9
松虎亭,神奈川県川崎市高津区溝口2-9-10
元祖ニュータンタンメン本舗 新城店,神奈川県川崎市中原区上新城2-11-26
トラットリア オイノス 新横浜,神奈川県横浜市港北区新横浜2-5-17
四季彩,神奈川県横浜市港北区新横浜2-3-3
居酒屋 則（すなわち）,神奈川県横浜市磯子区杉田4-4-14
BEEF KITCHEN STAND（ビーフキッチンスタンド）野毛一番街店,神奈川県横浜市中区野毛町1-52
お肉料理と鎌倉野菜 KAIZOKU,神奈川県鎌倉市大船1-20-18
元祖ニュータンタンメン本舗 登戸店,神奈川県川崎市多摩区登戸2422-3
サンアロハみなとみらい本店,神奈川県横浜市中区海岸通1-1
居酒屋 韓国村,神奈川県川崎市川崎区砂子2-9-2
串の坊,神奈川県横浜市磯子区新杉田町3-6
元祖ニュータンタンメン本舗綱島店,神奈川県横浜市港北区綱島西1-7-11
三崎まぐろ専門店 Tunaがる～ツナガル～桜木町野毛,神奈川県横浜市中区野毛町1-1-4
コチュジャン,神奈川県横浜市青葉区市ヶ尾町1153-2
ふか川,神奈川県川崎市多摩区登戸2519-7
海鮮居酒屋 北の漁場,神奈川県横浜市戸塚区原宿4-13-2
同發 別館,神奈川県横浜市中区山下町148
紅太陽,神奈川県藤沢市藤沢4-1-6
ビストロ 然 ZEN,神奈川県相模原市南区相模大野8-3-7
酒菜肉匠 ふるや,神奈川県横浜市戸塚区戸塚町4786
酒菜の隠れ家 月あかり逗子店,神奈川県逗子市逗子5-2-47
せんざん相模原店,神奈川県相模原市中央区相生1-1
こだわりの個室でおもてなし食楽厨房 センター南店,神奈川県横浜市都筑区茅ヶ崎中央43-9
村木屋はなれ,神奈川県横浜市神奈川区鶴屋町2-16-6
松屋白楽店,神奈川県横浜市神奈川区白楽118
松屋東神奈川店,神奈川県横浜市神奈川区西神奈川1-20-4
せんざん山手台店,神奈川県横浜市泉区岡津町9-1
ダイニングバー テンダーズダイニング,神奈川県鎌倉市大船1-8-2
酒菜の隠れ家 月あかり伊勢原北口店,神奈川県伊勢原市伊勢原1-3-17
せんざん瀬谷店,神奈川県横浜市瀬谷区橋戸2-12-11
せんざん港南台本店,神奈川県横浜市港南区港南台3-17-4
Peace,神奈川県横浜市神奈川区西神奈川1-3-9
湘南鮮魚×特選地酒ゆるりと菜－村さ来－茅ヶ崎北口店,神奈川県茅ヶ崎市新栄町1-6
せんざん港南台本店,神奈川県横浜市港南区港南台3-17-4
平塚完全個室 彩（あや）,神奈川県平塚市明石町23-4
イシダ商店 浜銀通り店,神奈川県横浜市港北区日吉本町1-5-24
酒菜の隠れ家 月あかり秦野駅前店,神奈川県秦野市今川町1-2
食べ放題 飲み放題 インドカレー SARINA 横須賀中央店,神奈川県横須賀市大滝町2-21
せんざん青葉台店,神奈川県横浜市青葉区若草台17-60
やきとり 2ランホームラン,神奈川県鎌倉市大船1-22-2
大衆居酒屋 つなみ ～TSUNAMI～,神奈川県海老名市中央1-16-17
せんざん金沢文庫店,神奈川県横浜市金沢区釜利谷東4-49-14
せんざん港北ニュータウン店,神奈川県横浜市都筑区茅ケ崎南2-11-15
全室個室×旬の地魚ゆるりと菜－村さ来－寒川店,神奈川県高座郡寒川町一之宮1-8-9
酒菜の隠れ家月あかり JR相模原店,神奈川県相模原市中央区相模原2-1-12
松屋大和渋谷店,神奈川県大和市渋谷5-4-1
松屋反町店,神奈川県横浜市神奈川区松本町1-1-9
とり鉄 はなれ,神奈川県相模原市緑区橋本6-12-15
松屋逗子店,神奈川県逗子市逗子2-6-29
松屋綾瀬小園店,神奈川県綾瀬市小園923-2
松屋厚木戸田店,神奈川県厚木市戸田540-1
松屋湘南台店,神奈川県藤沢市湘南台2-5-9
松屋南林間店,神奈川県大和市南林間1-8-1
松屋大口店,神奈川県横浜市神奈川区大口通58-3
松屋厚木店,神奈川県厚木市田村町7-20
酒菜の隠れ家 月あかりららぽーと海老名店,神奈川県海老名市扇町13-1
昭和居酒屋 ゆず,神奈川県茅ヶ崎市共恵1-6-18
イシダ商店 綱島店,神奈川県横浜市港北区綱島東2-1-5
松屋大船駅前店,神奈川県鎌倉市大船1-12-23
松屋座間立野台店,神奈川県座間市立野台2-20-3
松屋大船店,神奈川県鎌倉市大船1-25-23
松屋小田原酒匂店,神奈川県小田原市西酒匂1-9-3
酒菜の隠れ家 月あかり平塚店,神奈川県平塚市紅谷町9-18
松屋横須賀中央駅前店,神奈川県横須賀市若松町1-7-5
松屋茅ヶ崎赤松町店,神奈川県茅ヶ崎市赤松町1-5
松屋平塚北金目店,神奈川県平塚市北金目2-4-33
割烹蒲焼 八十八 ニュウマン横浜店,神奈川県横浜市西区南幸1-1-1
松屋稲田堤店,神奈川県川崎市多摩区菅2-1-1
少人数個室×地魚×全国特選地酒ゆるりと菜－村さ来－藤沢北口店,神奈川県藤沢市藤沢388
松屋長後店,神奈川県藤沢市下土棚509-10
松屋矢向店,神奈川県横浜市鶴見区矢向6-5-8
松屋川崎西口店,神奈川県川崎市幸区大宮町5-1
松屋菊名店,神奈川県横浜市港北区菊名4-2-6
松屋古淵店,神奈川県相模原市南区古淵1-7-1
松屋橋本店,神奈川県相模原市緑区橋本6-2-1
松屋生田店,神奈川県川崎市多摩区生田7-8-9
松屋平塚店,神奈川県平塚市紅谷町4-2
松屋川崎枡形店,神奈川県川崎市多摩区枡形1-5-9
松屋平間店,神奈川県川崎市中原区北谷町8
松屋追浜店,神奈川県横須賀市追浜町3-13-13
焼鳥居酒屋 善平,神奈川県横浜市旭区二俣川1-2
江ノ島海の家×ビアガーデンBBQキッチンブルー～プクプク～,神奈川県藤沢市片瀬海岸2
松屋高津店,神奈川県川崎市高津区二子5-2-1
松屋 川崎砂子店,神奈川県川崎市川崎区砂子2-6-19
A5ランク牛や朝獲れ旬魚来幸（らいこう）小田原,神奈川県小田原市栄町3-5-16
松屋鹿島田店,神奈川県川崎市幸区下平間135
酒菜の隠れ家 月あかり横浜駅前店,神奈川県横浜市西区北幸1-1-8
松屋麻溝台店,神奈川県相模原市南区麻溝台1-5-6
松屋中山店,神奈川県横浜市緑区寺山町87-7
松屋寒川倉見店,神奈川県高座郡寒川町倉見849-3
はしごや 楽上大岡店,神奈川県横浜市港南区上大岡西2-1-23
松屋上溝店,神奈川県相模原市中央区上溝3-16-1
松屋踊場店,神奈川県横浜市泉区中田南1-2-12
松屋川崎京町店,神奈川県川崎市川崎区京町1-18-15
松屋都筑インター店,神奈川県横浜市都筑区早渕3-37-14
松屋さがみ野店,神奈川県海老名市東柏ヶ谷2-30-24
松屋鶴見東口店,神奈川県横浜市鶴見区鶴見中央1-3-3
松屋大倉山店,神奈川県横浜市港北区大倉山3-1-28
割烹蒲焼 八十八 吉田町店,神奈川県横浜市中区吉田町10
松屋保土ヶ谷店,神奈川県横浜市保土ケ谷区岩井町4
松屋小田急相模原店,神奈川県相模原市南区松が枝町24-6
名物ホルモン 七輪もつ焼き 吉 溝の口,神奈川県川崎市高津区溝口2-1-2
逗子海岸 海の家 WILD BOAR（ワイルドボア）,神奈川県逗子市新宿逗子ビーチ
松屋相模原中央店,神奈川県相模原市中央区中央1-10-15
松屋伊勢原店,神奈川県伊勢原市桜台1-2-30
松屋淵野辺北口店,神奈川県相模原市中央区淵野辺3-19-9
えびかに食堂 鶴見駅前店,神奈川県横浜市鶴見区鶴見中央1-5-5
松屋淵野辺店,神奈川県相模原市中央区鹿沼台2-18-6
松屋上鶴間店,神奈川県相模原市南区上鶴間本町5-1-2
チャイナ飯店,神奈川県横浜市南区井土ヶ谷中町157
松屋横須賀中央店,神奈川県横須賀市大滝町2-23
焼鳥×もつ鍋 2000円食べ飲み放題 個室居酒屋 横浜屋 鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-19-6
韓国料理居酒屋 城 鶴見,神奈川県横浜市鶴見区栄町通1-10-11
焼鳥 くろちゃん 武蔵小杉北口店,神奈川県川崎市中原区新丸子町915-1
串カツ居酒屋 祭（マツリ）大和駅前店,神奈川県大和市中央5-1-24
松屋藤沢北口店,神奈川県藤沢市藤沢462
北陸・漁師の和食酒場魚屋あらまさ,神奈川県川崎市川崎区駅前本町15-5
もつ焼き 惇平花月園前店,神奈川県横浜市鶴見区生麦5-7-38
大人数個室×本格中華萬興楼（マンキョウロウ）横浜西口,神奈川県横浜市西区南幸2-11-15
松屋藤沢南口店,神奈川県藤沢市南藤沢2-10
松屋井土ヶ谷店,神奈川県横浜市南区井土ヶ谷中町161
松屋本厚木南口店,神奈川県厚木市旭町1-1-2
松屋海老名店,神奈川県海老名市中央2-1-5
松屋横浜店,神奈川県横浜市西区南幸2-1-3
松屋藤沢石川店,神奈川県藤沢市石川2-1-1
