店舗名,住所
京城苑,神奈川県相模原市緑区下九沢1677-5
源,神奈川県相模原市南区東林間6-18-20
楽々苑,神奈川県相模原市南区新磯野1-22-15
牛備,神奈川県川崎市川崎区渡田向町12-3
たん菜房,神奈川県横浜市中区福富町西通52
みょうじん,神奈川県足柄下郡箱根町宮城野827
牛村,神奈川県川崎市中原区新丸子町648-5
食楽園,神奈川県横浜市鶴見区栄町通4-42-8
つる屋 伊勢佐木町店,神奈川県横浜市中区伊勢佐木町1-7-10
ホルモンビストロ 瞬,神奈川県相模原市中央区淵野辺3-3-10
BBQBar ＆錦KIN,神奈川県横浜市中区伊勢佐木町2-11-4
じゅうじゅうカルビ 鶴見中央店,神奈川県横浜市鶴見区鶴見中央3-4-27
安楽亭 相模原上溝店,神奈川県相模原市中央区上溝2307-1
いくどん 青葉台店,神奈川県横浜市青葉区青葉台2-18-11
京城苑 駅前店,神奈川県小田原市栄町2-3-11
七厘亭,神奈川県横浜市保土ケ谷区和田1-16-11
安楽亭 相模原九沢橋店,神奈川県相模原市中央区上溝4553-1-4
安楽亭 相模原九沢橋店,神奈川県相模原市中央区上溝4553-1-4
炭炭亭,神奈川県川崎市中原区下小田中2-27-19
アリラン,神奈川県相模原市中央区淵野辺4-14-44
肉ニキの台所,神奈川県横浜市中区若葉町2-15
香味苑,神奈川県横浜市鶴見区潮田町4-150-17
アボジ,神奈川県相模原市南区相模大野3-12-20
壱語屋 市ヶ尾店 蔵の膳,神奈川県横浜市青葉区市ケ尾町517-10
昇竜,神奈川県横浜市鶴見区市場富士見町5-15
花天,神奈川県川崎市中原区木月住吉町12-16
和,神奈川県横浜市中区太田町2-32-1
芝浦ホルモン楽 ハナレ,神奈川県川崎市川崎区浅田3-5-10
味楽苑,神奈川県横浜市戸塚区上矢部町1895
萬盛,神奈川県横浜市中区伊勢佐木町6-136-6
夕月館,神奈川県相模原市中央区相模原2-2-6
宮崎肉処 霧峰 ラスカ平塚店,神奈川県平塚市宝町1-1
北京,神奈川県川崎市中原区上平間1700-36
やきにく村,神奈川県横浜市保土ケ谷区新井町466-2
白頭山,神奈川県川崎市幸区中幸町1-17
まつだ,神奈川県厚木市中町4-5-15
福寿苑,神奈川県川崎市川崎区追分町13-3
京城苑,神奈川県横浜市保土ケ谷区新桜ケ丘1-28-15
牛角 元石川店,神奈川県横浜市青葉区元石川町5422-13
いくどん あざみ野店,神奈川県横浜市青葉区あざみ野1-26-7
肉son,神奈川県藤沢市湘南台2-7-6
焼き処えん,神奈川県平塚市代官町1-12
宝珍,神奈川県相模原市中央区淵野辺本町3-38-4
牛角 鴨宮店,神奈川県小田原市前川120
壱五屋,神奈川県藤沢市辻堂2-7-7
牛角 逗子店,神奈川県逗子市逗子5-2-48
黒毛和牛 SHIN,神奈川県横浜市南区吉野町2-4
安楽亭 今宿西店,神奈川県横浜市旭区今宿西町438
団らん旭,神奈川県平塚市徳延104-1
ビールとごはん グビグビ食堂,神奈川県茅ヶ崎市松浪1-1-12
炭焼喰人 （スミヤキショクニン）,神奈川県横浜市都筑区茅ヶ崎中央26-25
元気になるキムチ屋,神奈川県横浜市南区宿町1-18
紅虎苑 野毛店,神奈川県横浜市中区野毛町1-15
NIQLOG,神奈川県藤沢市片瀬海岸1-4-4
赤おに,神奈川県横須賀市大滝町2-17
芝浦食肉 川崎店,神奈川県川崎市川崎区砂子2-4-18
炭火焼 タイガー,神奈川県横須賀市若松町2-7
ホルモンセンターざんまい 寒川駅前店,神奈川県高座郡寒川町岡田937
KARA KARA本厚木店,神奈川県厚木市幸町6-4
グルーピードールズ 生田,神奈川県川崎市多摩区生田7-9-3
FREEDOM,神奈川県横須賀市追浜東町3-63
ぶん福,神奈川県横浜市中区長者町9-140
京城苑,神奈川県横浜市中区住吉町5-60
朱煙,神奈川県横浜市中区宮川町2-57
炭火焼・ジンギスカン 七厘亭,神奈川県川崎市麻生区高石3-9-1
バリバリ,神奈川県川崎市多摩区登戸1688
食彩和牛しげ吉 相模原店,神奈川県相模原市中央区相模原1-2-7
炭火焼ホルモン やざわ,神奈川県横浜市港南区丸山台1-11-6
牛繁 大船店,神奈川県鎌倉市大船1-25-23
黒牛徳,神奈川県相模原市南区相模大野8-3-7
燦星庵,神奈川県横浜市中区弁天通3-48
朴乃家,神奈川県川崎市幸区中幸町3-18
心,神奈川県横浜市中区本郷町2-34-4
とんちゃんハウス,神奈川県相模原市中央区相模原6-3-2
URIDURI,神奈川県横浜市中区吉田町5-1
エスカーラ,神奈川県横浜市金沢区谷津町365
京城苑 鶴ヶ峰店,神奈川県横浜市旭区鶴ケ峰2-23-23
グルーピードールズ 生田,神奈川県川崎市多摩区生田7-9-3
川崎肉流通センター,神奈川県川崎市川崎区貝塚1-13-3
エスカーラ,神奈川県横浜市金沢区谷津町365
バリバリ,神奈川県川崎市多摩区登戸1688
炭火焼ホルモン やざわ,神奈川県横浜市港南区丸山台1-11-6
牛繁 大船店,神奈川県鎌倉市大船1-25-23
まるよし亭,神奈川県綾瀬市上土棚中2-17-41
いくどん 相武台前店,神奈川県座間市相武台1-4509
enjoy chicken by1000,神奈川県横浜市中区常盤町1-5
壱語屋 青葉台店,神奈川県横浜市青葉区青葉台2-8-20
山田牛兵衛,神奈川県横浜市港南区上永谷2-22-2
麻浦カルビ,神奈川県横浜市中区福富町東通38-4
たれ山 読売ランド前,神奈川県川崎市多摩区西生田4-3-29
Korean Dining COCO,神奈川県横浜市中区羽衣町3-76-3
牛角 新横浜店,神奈川県横浜市港北区篠原町2865
肉匠 いっしん,神奈川県横浜市港南区上大岡東1-11-26
つる屋 馬車道店,神奈川県横浜市中区弁天通4-67-1
ホルモン さんぱち屋 あざみ野本店,神奈川県横浜市青葉区新石川1-8-1
御肉処はしやま,神奈川県横浜市中区相生町5-79-2
太田,神奈川県横浜市中区福富町西通46-4
二代目かんてき 溝ノ口店,神奈川県川崎市高津区溝口1-12-10
肉の頂～晃～,神奈川県横浜市金沢区鳥浜町1-1
安楽亭 東戸塚店,神奈川県横浜市戸塚区柏尾町193-1
YAKINIKU RESTAURANT えいじ,神奈川県川崎市中原区新丸子東1-781
カンゲン クイーンズスクエア横浜店,神奈川県横浜市西区みなとみらい2-3-4
とんきち,神奈川県綾瀬市大上5-12-31
まさるや,神奈川県藤沢市南藤沢23-10
煖,神奈川県横浜市都筑区北山田1-14-21
牛角 新百合ヶ丘店,神奈川県川崎市麻生区万福寺1-17-1
田園,神奈川県相模原市中央区南橋本2-6-13
かも笑,神奈川県小田原市扇町3-30-5
もつ焼き 良 大倉山店,神奈川県横浜市港北区師岡町477-13
三平ホルモン,神奈川県大和市深見西2-3-8
ほるもん番長,神奈川県大和市中央2-4-4
牛たん焼き仙台 辺見 横浜霧が丘店,神奈川県横浜市緑区霧が丘5-1-1
ジンギスカンおおにし,神奈川県川崎市高津区溝口2-15-1
ホルモン焼 てっちゃん,神奈川県川崎市多摩区生田7-2-12
七輪炭火焼 いくどん 藤が丘店,神奈川県横浜市青葉区藤が丘1-28-43
ジンギスカン食堂 HITSUJI KITCHEN 大和店,神奈川県大和市大和南1-2-10
牛たん居酒屋 橋本,神奈川県横浜市港北区綱島西4-10-6
炭火焼ホルモン専門店 北野,神奈川県横浜市神奈川区西神奈川3-1-5
牛角 平塚四之宮店,神奈川県平塚市四之宮2-6-21
ホルモン焼き とん太,神奈川県藤沢市用田618
ホルモン元気屋,神奈川県藤沢市善行7-6-6
鉄PAN焼 Hadapan,神奈川県秦野市本町1-9-9
大船ホルモンセンター,神奈川県鎌倉市大船1-10-7
ホルモンセンター 赤ひげ 鳶尾店,神奈川県厚木市鳶尾4-27
酔笑苑,神奈川県厚木市中町3-2-21
弁慶果樹園,神奈川県藤沢市遠藤6190
牛たん 満月,神奈川県小田原市本町2-5-9
ドラム缶酒場長寿村,神奈川県鎌倉市台2-11-10
ホルモン酒場 GERAGERA,神奈川県平塚市東八幡1-2-3
KOTORA,神奈川県横浜市神奈川区松本町1-3-9
みどりやファーム,神奈川県秦野市落合833-3
行くべえ,神奈川県横須賀市野比1-7-8
ホルモンセンター天狗家 本店,神奈川県大和市柳橋2-2-15
大衆酒場 ホルモン てつ,神奈川県平塚市錦町2-19
鶴間とんちゃん,神奈川県大和市鶴間2-11-20
ホルモン大和,神奈川県海老名市河原口1-3-5
もつ次郎 平塚桜ヶ丘店,神奈川県平塚市中里46-25
弁慶果樹園,神奈川県藤沢市遠藤6190
KOTORA,神奈川県横浜市神奈川区松本町1-3-9
居酒屋 ごり,神奈川県茅ヶ崎市浜竹3-3-34
柳屋ホルモン焼 本店,神奈川県小田原市中町3-15-5
山喜多 鶴間店,神奈川県大和市西鶴間3-1-12
みどりやファーム,神奈川県秦野市落合833-3
ホルモンぶんぶく,神奈川県伊勢原市桜台1-18-1
宝源,神奈川県茅ヶ崎市香川5-2-13
鶴間とんちゃん,神奈川県大和市鶴間2-11-20
ホルモン大和,神奈川県海老名市河原口1-3-5
ホルモン源,神奈川県小田原市前川195
めん羊の里 木里館,神奈川県秦野市曽屋5896-2
ホルモン焼福だるま,神奈川県平塚市横内4069-5
きのこ苑 お山のたいしょう,神奈川県小田原市根府川657
やなぎや 寿町店,神奈川県小田原市寿町5-8-42
かむらど 佐島店,神奈川県横須賀市佐島3-6-13
時代輪屋,神奈川県秦野市鶴巻北2-4-17
ホルモン焼 じゃんぼ,神奈川県茅ヶ崎市浜竹4-7-53
三道苑,神奈川県大和市西鶴間5-13-1
勝滝ホルモンセンター,神奈川県大和市鶴間2-11-23
もつ焼き いちばん,神奈川県小田原市栄町3-3-17
もつ肉ハッピー,神奈川県横須賀市若松町1-11
Seafood ＆ Grill YAKIYA（ヤキヤ）八景島,神奈川県横浜市金沢区八景島
炭火焼ホルモン けんちゃん,神奈川県平塚市明石町14-12
とき,神奈川県茅ヶ崎市円蔵1-24-23
ホルモンセンターおかめ,神奈川県厚木市栄町2-10-28
丸美,神奈川県藤沢市湘南台2-2-11
ホルモン焼珍満,神奈川県小田原市中村原733-6
炭火焼 ホルモン家族 ちゅうりん 中央林間店,神奈川県大和市中央林間5-7-21
ぽんぽこ亭,神奈川県茅ヶ崎市松が丘1-10-16
炭火焼ホルモン けんちゃん,神奈川県平塚市明石町14-12
ちょっと 北久里浜店,神奈川県横須賀市根岸町3-12-8
柳屋ホルモン焼 南足柄店,神奈川県南足柄市和田河原437-1
ホルモン天国,神奈川県座間市ひばりが丘2-52-19
炭火屋麒麟児,神奈川県横浜市鶴見区生麦3-7-18
野毛とんちゃん,神奈川県横浜市中区野毛町2-71
忠ちゃん,神奈川県川崎市多摩区西生田4-2-2
羊肉酒場 火辻,神奈川県相模原市緑区橋本3-29-6
ホルモン酒場○蔵,神奈川県藤沢市鵠沼石上1-3-1
ぽんぽこ亭,神奈川県茅ヶ崎市松が丘1-10-16
白熊 炭火焼,神奈川県横浜市緑区長津田5-2-5
塩煮込みともつ串焼 もつしげ 横浜西口店,神奈川県横浜市西区南幸2-8-26
お好み焼き 鉄板焼き もんじゃ焼き とどろき亭,神奈川県川崎市中原区宮内4-1-2
ふじまる,神奈川県横浜市南区別所1-3-20
てっぱん加福屋,神奈川県川崎市川崎区渡田4-1-3
ぽんぽこ亭 茅ヶ崎萩園店,神奈川県茅ヶ崎市萩園1270-34
内臓卸直営 ホルモン保坂 宮前店,神奈川県川崎市宮前区南平台3-18
まるなが,神奈川県伊勢原市石田337-5
羊の大群,神奈川県横浜市中区曙町2-28
牛たん焼き 縁,神奈川県横浜市神奈川区鶴屋町2-16-3
吉池,神奈川県足柄下郡箱根町湯本597
遊魚園,神奈川県相模原市緑区名倉3231
ホルモン500,神奈川県横浜市中区曙町1-10
七輪炭火焼ホルモン おさやん！ 川崎総本店,神奈川県川崎市川崎区砂子2-8-1
ロックヒルズガーデン,神奈川県川崎市幸区中幸町3-8-1
Happy Food ＆ Cafe Tiger,神奈川県横浜市青葉区田奈町78-2
ホルモンしばうら 武蔵新城店,神奈川県川崎市高津区新作5-25-12
ホルモン しろ,神奈川県相模原市中央区陽光台4-3-5
闇市肉酒場 横浜 曙町店,神奈川県横浜市中区曙町1-1-29
野毛ホルモンセンターはなれ,神奈川県横浜市中区野毛町2-69
ラムバレー,神奈川県鎌倉市大船2-25-14
Riz‐p 鉄板ダイニング,神奈川県横浜市中区相生町2-50
じんじん,神奈川県横浜市磯子区栗木2-2-22
Griddle Bar GOOFY,神奈川県相模原市中央区共和4-1-5
炭火焼ホルモン 梅林,神奈川県横浜市磯子区杉田4-5-28
炭火焼ホルモン 秀,神奈川県相模原市南区御園5-5-25
炭火焼 甲州,神奈川県横浜市港北区菊名1-9-36
もつ焼き い組,神奈川県横浜市旭区二俣川1-45-71
ホルモンセンター 赤ひげ 愛川店,神奈川県愛甲郡愛川町角田585-4
牛タン炭火焼き 味の店 八ったん 川崎,神奈川県川崎市川崎区本町1-8-28
炭火焼 実杏美,神奈川県横浜市中区麦田町4-98
名門芝浦ホルモン 楽,神奈川県川崎市川崎区京町3-29-7
ホルモン焼 かつら,神奈川県相模原市南区相南4-3-27
海南亭グリル,神奈川県横浜市中区相生町4-65
やまじん,神奈川県川崎市川崎区東田町7-1
鉄板焼 むげん,神奈川県川崎市高津区溝口2-6-22
ホルモン焼 民ちゃん,神奈川県横浜市都筑区勝田町368-7
炭焼き 螢,神奈川県相模原市南区東林間5-17-15
鉄板焼き・お好み焼き aja （エイジャ） 藤沢店,神奈川県藤沢市南藤沢16-11
テラス キャンプ バーベキュー 真鶴魚座,神奈川県足柄下郡真鶴町真鶴1947-2
喜之助,神奈川県足柄下郡箱根町湯本703-19
鉄板ハウス蒼姫,神奈川県横浜市戸塚区名瀬町43-5
鉄板焼 わいわい,神奈川県横浜市港南区下永谷3-6-16
もつ焼き つじ,神奈川県横浜市港北区樽町4-7-12
ワイルドクッキングガーデン,神奈川県相模原市緑区若柳1634
鉄板焼き居酒屋なかまる,神奈川県相模原市中央区横山台2-9-8
肉匠牛たん たん之助 ヨドバシ横浜店,神奈川県横浜市西区北幸1-2-7
牛たん焼き仙台辺見 新横浜店,神奈川県横浜市港北区新横浜2-5-13
鉄板焼 ゆうき亭,神奈川県川崎市中原区木月1-28-16
鉄板焼き 十十,神奈川県相模原市中央区南橋本2-11-1
クラーテル,神奈川県横浜市西区高島2-13-6
炭火鉄板焼 杜季,神奈川県足柄下郡箱根町宮ノ下112-2
テラス キャンプ バーベキュー 真鶴魚座,神奈川県足柄下郡真鶴町真鶴1947-2
喜之助,神奈川県足柄下郡箱根町湯本703-19
牛たん焼き 仙台 辺見 川崎アゼリア店,神奈川県川崎市川崎区駅前本町26-2
炭火ホルモン焼 がま親分,神奈川県横浜市中区日ノ出町1-102
ポピー,神奈川県横浜市保土ケ谷区法泉3-2-12
珍萬,神奈川県相模原市中央区陽光台4-24-4
小樽ジンギスカン倶楽部 北とうがらし,神奈川県横浜市青葉区すすき野1-3-26
いくどん 矢部店,神奈川県相模原市中央区矢部3-21-13
くいしんぼう,神奈川県川崎市多摩区登戸2650-2
肉匠牛たん たん之助 ヨドバシ横浜店,神奈川県横浜市西区北幸1-2-7
上大岡とんちゃん,神奈川県横浜市港南区上大岡西1-14-37
もつやきぺーちゃ,神奈川県川崎市多摩区菅稲田堤1-16-16
TON佑,神奈川県横浜市保土ケ谷区上星川1-2-3
青葉 新百合ヶ丘エルミロード店,神奈川県川崎市麻生区上麻生1-4-1
ITOH DINING by NOBU,神奈川県足柄下郡箱根町強羅1300-64
AMAYA,神奈川県足柄下郡真鶴町真鶴1947-98
BBQPITあざみ野ガーデンズ,神奈川県横浜市青葉区大場町704-11
大衆鉄板酒場てんてん,神奈川県相模原市中央区淵野辺4-15-12
GORA BREWERY ＆ GRILL,神奈川県足柄下郡箱根町強羅1300-72
ラム専 ひつじ亭,神奈川県相模原市中央区淵野辺4-17-16
時代輪屋,神奈川県足柄上郡中井町井ノ口2419-25
ひがんしがん,神奈川県逗子市逗子7-1-51
バーベキューレストラン ブリーズ,神奈川県足柄下郡箱根町強羅1320-270
もつ焼き ふくろう,神奈川県川崎市麻生区百合丘1-16-32
鉄板焼 さがみ,神奈川県横浜市西区北幸1-3-23
ジンギスカン 伊勢原店,神奈川県伊勢原市伊勢原1-15-14
I．NU,神奈川県伊勢原市伊勢原1-7-7
炭火焼 八剣伝 南橋本店,神奈川県相模原市中央区南橋本1-3-13
ひがんしがん,神奈川県逗子市逗子7-1-51
鉄板焼き 石ずえ,神奈川県足柄下郡箱根町強羅1320-807
小澤商店,神奈川県座間市相模が丘1-24-8
ジンギスカンと肴 あきらや,神奈川県平塚市紅谷町5-3
かいせ,神奈川県厚木市旭町2-1-15
仙臺牛たん炭焼 利久 リエール藤沢店,神奈川県藤沢市南藤沢1-2
もつ焼き けんもつ屋,神奈川県川崎市中原区木月2-1-7
マサルヤ飯店,神奈川県藤沢市南藤沢23-10
ホルモンばんちょう,神奈川県横浜市南区吉野町4-20
俣野也,神奈川県横浜市中区富士見町2-1
ホルモン倶楽部 さがみ野店,神奈川県海老名市東柏ケ谷3-14-4
山桜,神奈川県足柄下郡箱根町箱根65
ホルモン道場 闘牛家,神奈川県横浜市中区伊勢佐木町3-101
鉄板居酒屋 夕景,神奈川県横浜市中区伊勢佐木町6-141-8
たん右衛門,神奈川県横浜市中区若葉町1-7
海辺のBed＆Breakfast GOOD MORNING ZAIMOKUZA,神奈川県鎌倉市材木座5-8-25
全国 ご当地 味めぐり てっぱん屋台 三井アウトレットパーク 横浜ベイサイド店,神奈川県横浜市金沢区白帆5-2
時代輪屋 渋沢店,神奈川県秦野市松原町3-48
日本橋山喜多 武蔵新城店,神奈川県川崎市中原区新城1-2-18
仙台牛タンみなと 横浜西口駅前店,神奈川県横浜市西区北幸1-1-13
鉄板焼 天 横浜,神奈川県横浜市西区南幸1-3-1
知喜多亭 和（なごみ） 横浜・関内店,神奈川県横浜市中区相生町3-53
鉄板焼き 心,神奈川県横浜市中区弁天通2-29
もつ焼き ジョン,神奈川県川崎市中原区上新城2-6-6
仙臺たんや利久ららぽーと海老名店,神奈川県海老名市扇町13-1
ホルモン古奈屋,神奈川県伊勢原市伊勢原1-17-12
ジンギスカン・エフ,神奈川県横浜市旭区鶴ケ峰2-22
とりぎゅたぶう,神奈川県横浜市南区宿町2-34
牛たん専門店 牛たん みやぎ そごう横浜店,神奈川県横浜市西区高島2-18-1
仙臺たんや 利久 コレットマーレみなとみらい店,神奈川県横浜市中区桜木町1-1-7
鉄板焼 REVEL,神奈川県川崎市多摩区登戸2085-1
もつ焼き良,神奈川県横浜市港北区綱島東3-5-58
炙り牛たん万イオンモール座間店,神奈川県座間市広野台2-10-4
グリルレストラン十邑,神奈川県足柄下郡箱根町強羅1300-8
厚木シロコロホルモン焼 千代乃 厚木ヴィラ店,神奈川県厚木市旭町3-15-14
仙台牛タンみなと 横浜西口駅前店,神奈川県横浜市西区北幸1-1-13
ジンギスカン・エフ,神奈川県横浜市旭区鶴ケ峰2-22
超ホルモン,神奈川県横浜市中区野毛町2-74-1
もつ焼 幸大 弘明寺店,神奈川県横浜市南区弘明寺町320-3
もつ焼き 幸太,神奈川県横浜市鶴見区鶴見中央4-20-3
牛たん専門店 牛たん みやぎ そごう横浜店,神奈川県横浜市西区高島2-18-1
仙臺たんや 利久 コレットマーレみなとみらい店,神奈川県横浜市中区桜木町1-1-7
利久食堂 ジ アウトレット湘南平塚店,神奈川県平塚市大神8-1-1
ねぎし アトレ川崎店,神奈川県川崎市川崎区駅前本町26-1
鉄板焼 禅,神奈川県足柄下郡箱根町塔ノ沢191
キリン横浜ビアホール,神奈川県横浜市鶴見区生麦1-17-1
鉄板処 TETSU -徹-,神奈川県横浜市戸塚区品濃町541-3
杉作,神奈川県川崎市幸区大宮町1310
ホルモン しろ 新丸子店,神奈川県川崎市中原区新丸子町740-2
鉄板焼 裕,神奈川県横浜市中区尾上町5-69
知喜多 横浜西口店,神奈川県横浜市西区北幸1-1-2
炭火焼 旬彩だるま,神奈川県横浜市中区常盤町3-34-5
鉄板焼 もりいち,神奈川県横浜市青葉区美しが丘1-13-10
薄野 中村屋,神奈川県横浜市中区海岸通4-22
牛たん炭焼 利久 ウィング上大岡店,神奈川県横浜市港南区上大岡西1-6-1
タン次郎,神奈川県横浜市金沢区瀬戸10-1
鉄板Dining＆Lounge 恵手得亭,神奈川県横浜市中区太田町2-26-3
鶴見ホルモンセンター,神奈川県横浜市鶴見区鶴見中央4-1-2
鉄板バル HANANOKI,神奈川県横浜市港南区上大岡西1-4-16
創作フレンチ ショウズ鉄板ダイニング,神奈川県横浜市中区尾上町3-45-2
いちりき,神奈川県川崎市多摩区登戸新町226
新横浜プリンスホテル トップ オブ ヨコハマ 鉄板焼＆ダイニング,神奈川県横浜市港北区新横浜3-4
牛たんと和牛焼き 青葉 マルイファミリー溝口店,神奈川県川崎市高津区溝口1-4-1
ゴールデンもつ,神奈川県横浜市中区桜木町1-1
Coccinella,神奈川県横浜市中区相生町5-79-2
ダイニング・カフェ たん吉,神奈川県横浜市保土ケ谷区帷子町2-99-2
利久 ららぽーと横浜店,神奈川県横浜市都筑区池辺町4035-1
鉄板焼 華暦,神奈川県横浜市西区みなとみらい1-1-3
鉄板焼なか田,神奈川県横浜市中区太田町2-32-1
牛たん焼き 仙台辺見 本厚木ミロード店,神奈川県厚木市泉町1-1
大阪西成 もつ肉商店 横浜野毛店,神奈川県横浜市中区野毛町1-32
鉄板焼 福むろ,神奈川県横浜市中区常盤町5-72-1
高甲,神奈川県横浜市青葉区市ケ尾町1168-3
本元 野毛店,神奈川県横浜市中区花咲町1-28-1
宮地亭,神奈川県横浜市中区太田町5-63-2
鉄板焼き居酒屋みぞまる,神奈川県相模原市中央区中央3-8-1
大衆酒場 もつ焼きのやまちゃん,神奈川県相模原市南区相模大野3-3-2
ベイサイドグリルザバーベキュー三井アウトレットパーク横浜ベイサイド店,神奈川県横浜市金沢区白帆5-2
焼肉わいえふ,神奈川県高座郡寒川町倉見519
焼肉屋 豪気,神奈川県小田原市南鴨宮2-41-1
焼肉 ごっち,神奈川県川崎市中原区新城3-17-9
焼肉ざんまい 湘南台店,神奈川県藤沢市湘南台4-8-11
焼肉BEEFMAN（ビーフマン） 横浜,神奈川県横浜市中区相生町2-31
炭火焼肉波,神奈川県厚木市妻田南1-23-14
炭火焼肉 火焔山,神奈川県厚木市上荻野267-1
七輪炭火焼肉 味ん味ん 愛川店,神奈川県愛甲郡愛川町中津724
大阪焼肉・ホルモン ふたご 元住吉店,神奈川県川崎市中原区木月2-4-6
大津苑,神奈川県横須賀市大津町1-17-1
ビーフキッチン,神奈川県横浜市神奈川区鶴屋町2-15
錦水,神奈川県横浜市鶴見区生麦5-5-9
慶州苑,神奈川県川崎市幸区下平間48
金剛苑 川崎池上町店,神奈川県川崎市川崎区池上町1-8
牛力,神奈川県高座郡寒川町一之宮7-6-7
にんにくどお？ 柿生店,神奈川県川崎市麻生区上麻生5-38-5
美星屋,神奈川県川崎市川崎区浜町4-16-21
千翠,神奈川県三浦市南下浦町上宮田3124
丸子屋,神奈川県川崎市中原区新丸子町911-1
ホルモン道場 輪倶闇市 川崎2号店,神奈川県川崎市川崎区砂子2-8-5
肉の寅屋総本店,神奈川県藤沢市湘南台2-1-1
飛車角 横浜店,神奈川県横浜市西区北幸1-4-1
あづま商店,神奈川県横浜市神奈川区大口通130-10
ホルモン いち本,神奈川県厚木市愛甲1-2-5
ホルモン家族かつら,神奈川県大和市南林間2-13-1
大上ホルモン,神奈川県綾瀬市寺尾南3-16-14
TECO7,神奈川県藤沢市南藤沢20-4
もつ焼きごう,神奈川県横浜市港北区綱島西1-8-17
